RunNumber,EventNumber,LumiBlock,TimeStamp,TimeStampNS,BCID,extL1ID,triggerType,mu_pt,mu_eta,mu_phi,mu_E,mu_charge
479103,0,545,1719504947,823601890,2820,688172651,136,"[28.457210540771484, 3.965548038482666, 3.363727569580078, 2.941767930984497]","[1.2743088006973267, -1.9388219118118286, 2.4756851196289062, -1.9776633977890015]","[-1.9749115705490112, 2.8447508811950684, 2.7149720191955566, -2.3642730712890625]","[54.86351013183594, 14.06705093383789, 20.138839721679688, 10.83244514465332]","[1, -1, -1, 1]"
479103,0,545,1719504962,192440020,2139,738451241,132,[],[],[],[],[]
479103,0,545,1719504962,237945525,1185,738455285,132,[],[],[],[],[]
479103,0,545,1719504968,215065595,188,755319075,140,"[16.93929100036621, 6.447733402252197, 6.2495856285095215]","[-0.8876264691352844, -1.4892091751098633, -0.8673155307769775]","[0.4611411392688751, -0.8101646304130554, 0.48626014590263367]","[24.062395095825195, 15.020813941955566, 8.751899719238281]","[-1, 1, 1]"
479103,0,545,1719504968,763520330,2502,755368446,136,"[33.8556022644043, 5.046868801116943, 1.76776921749115]","[0.09342613071203232, -0.4523690342903137, 2.3106141090393066]","[-2.8531646728515625, 1.7266530990600586, 1.5710041522979736]","[34.00362777709961, 5.573126792907715, 8.998400688171387]","[1, 1, -1]"
479103,0,546,1719504993,687357065,2769,839251951,136,"[46.212013244628906, 35.06057357788086]","[-0.9558807015419006, -0.6211333870887756]","[-1.7071523666381836, 1.486419916152954]","[68.98152923583984, 42.04426956176758]","[1, -1]"
479103,0,546,1719505002,881213940,1140,872735792,132,[2.0896246433258057],[-2.2843854427337646],[2.6994709968566895],[10.366630554199219],[1]
479103,0,546,1719505006,306721250,3107,889373589,132,"[5.383776664733887, 5.209873676300049, 2.851315975189209, 2.756481409072876, 2.2492759227752686]","[-0.42708060145378113, 1.1004977226257324, -1.9930859804153442, -2.419241189956665, 1.9486074447631836]","[-2.9764811992645264, 0.4345894455909729, -3.003476858139038, -0.11293946206569672, -2.2570314407348633]","[5.883228778839111, 8.696877479553223, 10.656488418579102, 15.610750198364258, 8.054651260375977]","[1, -1, -1, -1, -1]"
479103,0,546,1719505016,589547380,1502,922955351,132,[6.700223445892334],[-0.7361530661582947],[-1.1028918027877808],[8.599853515625],[1]
479103,0,546,1719505033,563269245,1631,973465539,132,"[3.4456958770751953, 2.5280237197875977]","[1.9008831977844238, -2.126667022705078]","[1.1982123851776123, 1.6812479496002197]","[11.786887168884277, 10.752331733703613]","[-1, -1]"
479103,0,546,1719505039,432914725,2039,1006652583,132,"[12.322190284729004, 5.439842700958252]","[1.051237940788269, -1.02289879322052]","[-1.4316116571426392, -2.0399093627929688]","[19.78168487548828, 8.543373107910156]","[-1, 1]"
479103,0,547,1719505046,586354740,2144,1023622152,132,"[3.4193849563598633, 2.1958518028259277, 3.5569138526916504]","[-2.347658634185791, 2.297056198120117, -2.0501110553741455]","[1.8417258262634277, -1.7321457862854004, 1.5147738456726074]","[18.048917770385742, 11.029630661010742, 14.045733451843262]","[1, 1, 1]"
